"label";"temp";"hum";"pression"
"10:13:43 18/01/2019";23.11;31.59;997.04
"10:23:43 18/01/2019";23.19;31.47;997.11
"10:33:43 18/01/2019";23.24;31.33;997.14
"10:43:44 18/01/2019";23.42;31.14;997.26
"10:53:43 18/01/2019";23.50;31.14;997.36
"11:03:43 18/01/2019";23.55;31.27;997.33
"11:13:43 18/01/2019";23.42;31.45;997.37
"11:23:44 18/01/2019";23.30;31.56;997.27
"11:33:43 18/01/2019";23.06;31.85;997.18
"11:43:43 18/01/2019";23.24;31.65;997.12
"11:53:43 18/01/2019";23.33;31.52;997.05
"12:03:44 18/01/2019";23.36;31.49;997.02
"12:13:43 18/01/2019";23.61;31.20;996.95
"12:23:43 18/01/2019";23.69;31.08;996.76
"12:33:43 18/01/2019";23.67;31.16;996.64
"12:43:44 18/01/2019";23.65;31.35;996.52
"12:53:43 18/01/2019";23.43;31.87;996.41
"13:03:43 18/01/2019";23.33;32.31;996.34
"13:13:43 18/01/2019";23.54;32.20;996.36
"13:23:44 18/01/2019";23.51;32.51;996.27
"13:33:43 18/01/2019";23.49;32.62;996.23
"13:43:43 18/01/2019";23.51;32.56;996.29
"13:53:43 18/01/2019";23.52;32.48;996.23
"14:03:44 18/01/2019";23.42;32.52;996.18
"14:13:43 18/01/2019";23.25;32.63;996.08
"14:23:43 18/01/2019";23.46;32.35;996.09
"14:33:43 18/01/2019";23.41;32.38;996.00
"14:43:44 18/01/2019";23.48;32.23;996.01
"14:53:43 18/01/2019";23.79;32.34;996.08
"15:03:43 18/01/2019";23.73;32.86;996.16
"15:13:43 18/01/2019";23.54;33.14;996.05
"15:23:44 18/01/2019";23.36;33.21;995.95
"15:33:43 18/01/2019";23.41;33.08;995.88
"15:43:43 18/01/2019";23.61;32.78;995.87
"15:53:43 18/01/2019";23.78;33.29;995.91
"16:03:44 18/01/2019";23.94;33.71;995.85
"16:13:43 18/01/2019";24.00;34.01;995.87
"16:23:43 18/01/2019";24.04;34.03;995.79
"16:33:43 18/01/2019";23.96;34.07;995.68
"16:43:44 18/01/2019";23.60;34.42;995.68
"16:53:43 18/01/2019";23.69;34.08;995.58
"17:58:09 18/01/2019";23.78;34.12;995.39
"18:58:09 18/01/2019";23.84;31.96;995.32
"19:58:09 18/01/2019";23.70;32.08;994.99
"20:58:09 18/01/2019";23.85;31.89;994.67
"21:58:09 18/01/2019";23.13;32.51;994.70
"22:58:09 18/01/2019";22.45;32.89;994.70
"23:58:09 18/01/2019";21.96;33.16;994.93
"00:58:09 19/01/2019";22.51;32.39;994.54
"01:58:09 19/01/2019";22.49;32.32;994.18
"02:58:09 19/01/2019";22.43;32.18;994.12
"03:58:09 19/01/2019";22.47;32.02;993.71
"04:58:09 19/01/2019";22.30;32.00;993.53
"05:58:09 19/01/2019";22.25;31.94;993.26
"06:58:09 19/01/2019";22.29;31.75;993.14
"07:58:09 19/01/2019";22.42;31.49;993.15
"08:58:09 19/01/2019";22.48;31.34;993.28
"09:58:08 19/01/2019";22.86;30.88;993.30
"10:58:10 19/01/2019";23.03;30.62;993.30
"11:58:10 19/01/2019";23.50;30.12;992.75
"12:58:10 19/01/2019";23.39;30.17;991.97
"13:58:10 19/01/2019";23.42;30.22;991.24
"14:58:10 19/01/2019";23.35;30.32;990.71
"15:58:10 19/01/2019";23.47;30.23;990.25
"16:58:10 19/01/2019";23.41;30.28;990.05
"17:58:10 19/01/2019";23.38;30.36;989.95
"18:58:10 19/01/2019";23.61;30.14;989.98
"19:58:09 19/01/2019";23.36;30.44;990.02
"20:58:10 19/01/2019";23.58;30.18;989.95
"21:58:10 19/01/2019";22.80;30.92;989.84
"22:58:10 19/01/2019";22.06;31.42;989.74
"23:58:10 19/01/2019";21.61;31.60;989.88
"00:58:10 20/01/2019";22.08;30.94;989.79
"01:58:10 20/01/2019";22.06;30.86;989.71
"02:58:09 20/01/2019";22.16;30.71;989.86
"03:58:11 20/01/2019";22.11;30.64;989.87
"04:58:11 20/01/2019";22.05;30.58;989.65
"05:58:11 20/01/2019";21.93;30.67;989.49
"06:58:11 20/01/2019";21.86;30.65;989.59
"07:58:11 20/01/2019";21.97;30.48;989.91
"08:58:11 20/01/2019";22.15;30.29;990.44
"09:58:11 20/01/2019";22.60;29.87;990.94
"10:58:11 20/01/2019";22.70;29.76;991.50
"11:58:11 20/01/2019";22.72;29.72;991.59
"12:58:11 20/01/2019";23.08;29.43;991.73
"13:58:11 20/01/2019";23.04;29.48;991.41
"14:58:11 20/01/2019";23.00;29.55;991.41
"15:58:10 20/01/2019";23.31;29.23;991.64
"16:58:10 20/01/2019";23.13;29.42;992.20
"17:58:11 20/01/2019";23.06;29.50;992.84
"18:58:11 20/01/2019";23.29;29.22;993.27
"19:58:11 20/01/2019";23.07;29.42;993.93
"20:58:10 20/01/2019";23.40;29.07;994.40
"21:58:11 20/01/2019";22.37;29.93;994.81
"22:58:12 20/01/2019";21.68;30.33;995.13
"23:58:12 20/01/2019";21.21;30.48;995.55
"00:58:12 21/01/2019";21.65;30.09;995.82
"01:58:12 21/01/2019";21.84;29.84;995.83
"02:58:12 21/01/2019";21.79;29.86;996.03
"03:58:12 21/01/2019";21.78;29.80;996.03
"04:58:12 21/01/2019";21.75;29.82;996.24
"05:58:12 21/01/2019";21.75;29.77;996.38
"06:58:12 21/01/2019";21.68;29.74;996.88
"07:58:12 21/01/2019";21.52;29.80;997.32
"08:58:12 21/01/2019";21.57;29.01;997.63
